rank,gid,role,priority_score,why,cluster_id,is_seed
1,100000000331309100,coordinator,1.0,"координатор: собирает от 5 плательщ. (984 635 ₸), раздаёт 99 получ. (23 001 375 ₸); 3 seed в 2 шагах выше; в кольце возвратных потоков (32 циклов)",6,False
2,100000004156082100,coordinator,0.9958,"координатор: собирает от 5 плательщ. (377 366 ₸), раздаёт 26 получ. (2 319 556 ₸); 3 seed в 2 шагах выше; в кольце возвратных потоков (11 циклов) | 96% ушло за ≤2 дня",15,False
3,100000008477350100,coordinator,0.9942,"координатор: собирает от 11 плательщ. (610 100 ₸), раздаёт 39 получ. (3 374 866 ₸); 2 seed в 2 шагах выше; в кольце возвратных потоков (464 циклов) | 57% ушло за ≤2 дня",2,False
4,100000008346837100,coordinator,0.9706,"координатор: собирает от 9 плательщ. (254 359 ₸), раздаёт 25 получ. (1 258 643 ₸); 2 seed в 2 шагах выше; в кольце возвратных потоков (111 циклов) | 85% ушло за ≤2 дня",11,False
5,100000008603629100,coordinator,0.9667,"координатор: собирает от 19 плательщ. (1 817 300 ₸), раздаёт 61 получ. (4 986 156 ₸); 1 seed в 2 шагах выше; в кольце возвратных потоков (762 циклов) | 99% ушло за ≤2 дня",7,False
6,100000000437046100,coordinator,0.9609,"координатор: собирает от 9 плательщ. (1 107 200 ₸), раздаёт 42 получ. (7 606 224 ₸); 1 seed в 2 шагах выше; в кольце возвратных потоков (472 циклов) | 87% ушло за ≤2 дня",2,False
7,100000004400305100,coordinator,0.9552,"координатор: собирает от 7 плательщ. (222 800 ₸), раздаёт 82 получ. (5 830 181 ₸); 2 seed в 2 шагах выше; в кольце возвратных потоков (545 циклов) | 79% ушло за ≤2 дня",2,False
8,100000008165763100,coordinator,0.9445,"координатор: собирает от 15 плательщ. (1 165 815 ₸), раздаёт 17 получ. (1 267 858 ₸); 3 seed в 2 шагах выше | 68% ушло за ≤2 дня",3,False
9,100000001857829100,coordinator,0.9163,"координатор: собирает от 6 плательщ. (888 535 ₸), раздаёт 16 получ. (2 390 993 ₸); 1 seed в 2 шагах выше; в кольце возвратных потоков (50 циклов) | 82% ушло за ≤2 дня",7,False
10,100000005782781100,coordinator,0.8777,"координатор: собирает от 6 плательщ. (171 888 ₸), раздаёт 10 получ. (1 263 597 ₸); 1 seed в 2 шагах выше; в кольце возвратных потоков (23 циклов) | 100% ушло за ≤2 дня",8,False
11,100000003115284100,consolidator,0.8715,"точка консолидации: получает от 8 разных плательщиков (15 переводов, 2 160 500 ₸), отдал дальше 24% полученного; до 7 плательщиков в один день | 4 seed в 2 шагах выше, 99% ушло за ≤2 дня",10,False
12,100000002398779100,consolidator,0.8657,"точка консолидации: получает от 13 разных плательщиков (28 переводов, 1 095 690 ₸), отдал дальше 6% полученного; до 7 плательщиков в один день | 2 seed в 2 шагах выше, 100% ушло за ≤2 дня",2,False
